name,district,party,age,email
Andrzej Adamczyk,13 Kraków,PiS,2020,Andrzej.Adamczyk@sejm.pl
Piotr Adamowicz,25 Gdańsk,KO,1997,Piotr.Adamowicz@sejm.pl
Adam Andruszkiewicz,24 Białystok,PiS,1993,Adam.Andruszkiewicz@sejm.pl
Waldemar Andzel,32 Katowice,PiS,2006,Waldemar.Andzel@sejm.pl
Dorota Arciszewska-Mielewczyk,26 Słupsk,PiS,2007,Dorota.Arciszewska-Mielewczyk@sejm.pl
Jan Krzysztof Ardanowski,5 Toruń,PiS,2012,Jan.Ardanowski@sejm.pl
Iwona Ewa Arent,35 Olsztyn,PiS,2019,Iwona.Arent@sejm.pl
Bartosz Arłukowicz,40 Koszalin,KO,1993,Bartosz.Arlukowicz@sejm.pl
Marek Ast,8 Zielona Góra,PiS,1996,Marek.Ast@sejm.pl
Urszula Augustyn,15 Tarnów,KO,2022,Urszula.Augustyn@sejm.pl
Piotr Babinetz,22 Krosno,PiS,2014,Piotr.Babinetz@sejm.pl
Ryszard Bartosik,37 Konin,PiS,2013,Ryszard.Bartosik@sejm.pl
Władysław Bartoszewski,19 Warszawa,PSL-TD,2001,Wladyslaw.Bartoszewski@sejm.pl
Barbara Bartuś,14 Nowy Sącz,PiS,2020,Barbara.Bartus@sejm.pl
Paweł Bejda,11 Sieradz,PSL-TD,2010,Pawel.Bejda@sejm.pl
Konrad Berkowicz,13 Kraków,Konfederacja,1996,Konrad.Berkowicz@sejm.pl
Sylwia Bielawska,2 Wałbrzych,KO,1996,Sylwia.Bielawska@sejm.pl
Marek Biernacki,26 Słupsk,PSL-TD,1995,Marek.Biernacki@sejm.pl
Paweł Bliźniuk,9 Łódź,KO,2012,Pawel.Blizniuk@sejm.pl
Mariusz Błaszczak,20 Warszawa,PiS,2004,Mariusz.Blaszczak@sejm.pl
Mateusz Bochenek,32 Katowice,KO,2011,Mateusz.Bochenek@sejm.pl
Rafał Bochenek,12 Kraków,PiS,2009,Rafal.Bochenek@sejm.pl
Izabela Bodnar,3 Wrocław,Polska2050-TD,2010,Izabela.Bodnar@sejm.pl
Jacek Bogucki,24 Białystok,PiS,2010,Jacek.Bogucki@sejm.pl
Zbigniew Bogucki,41 Szczecin,PiS,1998,Zbigniew.Bogucki@sejm.pl
Krzysztof Bojarski,6 Lublin,KO,2012,Krzysztof.Bojarski@sejm.pl
Joanna Borowiak,5 Toruń,PiS,2003,Joanna.Borowiak@sejm.pl
Kamil Bortniczuk,16 Płock,PiS,2012,Kamil.Bortniczuk@sejm.pl
Piotr Borys,1 Legnica,KO,2013,Piotr.Borys@sejm.pl
Bożena Borys-Szopa,29 Katowice,PiS,2012,Bozena.Borys-Szopa@sejm.pl
Marcin Bosacki,39 Poznań,KO,2018,Marcin.Bosacki@sejm.pl
Karina Anna Bosak,20 Warszawa,Konfederacja,2015,Karina.Bosak@sejm.pl
Krzysztof Bosak,24 Białystok,Konfederacja,2010,Krzysztof.Bosak@sejm.pl
Grzegorz Braun,23 Rzeszów,Konfederacja,2012,Grzegorz.Braun@sejm.pl
Krzysztof Brejza,4 Bydgoszcz,KO,2007,Krzysztof.Brejza@sejm.pl
Agnieszka Buczyńska,25 Gdańsk,Polska2050-TD,2001,Agnieszka.Buczynska@sejm.pl
Waldemar Buda,9 Łódź,PiS,2002,Waldemar.Buda@sejm.pl
Borys Budka,31 Katowice,KO,2012,Borys.Budka@sejm.pl
Elżbieta Burkiewicz,23 Rzeszów,Polska2050-TD,2006,Elzbieta.Burkiewicz@sejm.pl
Lidia Burzyńska,28 Częstochowa,PiS,1996,Lidia.Burzynska@sejm.pl
Marek Jan Chmielewski,2 Wałbrzych,KO,2017,Marek.Chmielewski@sejm.pl
Zbigniew Chmielowiec,23 Rzeszów,PiS,2001,Zbigniew.Chmielowiec@sejm.pl
Artur Chojecki,35 Olsztyn,PiS,2004,Artur.Chojecki@sejm.pl
Kazimierz Bogusław Choma,6 Lublin,PiS,2007,Kazimierz.Choma@sejm.pl
Dominika Chorosińska,20 Warszawa,PiS,1994,Dominika.Chorosinska@sejm.pl
Tadeusz Chrzan,22 Krosno,PiS,2009,Tadeusz.Chrzan@sejm.pl
Alicja Chybicka,3 Wrocław,KO,2013,Alicja.Chybicka@sejm.pl
Anna Ewa Cicholska,16 Płock,PiS,2016,Anna.Cicholska@sejm.pl
Janusz Cichoń,35 Olsztyn,KO,2017,Janusz.Cichon@sejm.pl
Krzysztof Ciecióra,10 Piotrków Trybunalski,PiS,1996,Krzysztof.Cieciora@sejm.pl
Janusz Cieszyński,35 Olsztyn,PiS,2017,Janusz.Cieszynski@sejm.pl
Michał Cieślak,33 Kielce,PiS,2014,Michal.Cieslak@sejm.pl
Żaneta Cwalina-Śliwowska,18 Siedlce,Polska2050-TD,2013,Zaneta.Cwalina-Sliwowska@sejm.pl
Krzysztof Czarnecki,38 Piła,PiS,1998,Krzysztof.Czarnecki@sejm.pl
Witold Wojciech Czarnecki,37 Konin,PiS,2011,Witold.Czarnecki@sejm.pl
Przemysław Czarnek,6 Lublin,PiS,2012,Przemyslaw.Czarnek@sejm.pl
Arkadiusz Czartoryski,18 Siedlce,PiS,2009,Arkadiusz.Czartoryski@sejm.pl
Włodzimierz Czarzasty,32 Katowice,Lewica,2020,Wlodzimierz.Czarzasty@sejm.pl
Jacek Czerniak,6 Lublin,Lewica,1993,Jacek.Czerniak@sejm.pl
Zofia Czernow,1 Legnica,KO,1993,Zofia.Czernow@sejm.pl
Anita Czerwińska,20 Warszawa,PiS,2011,Anita.Czerwinska@sejm.pl
Katarzyna Czochara,21 Opole,PiS,2020,Katarzyna.Czochara@sejm.pl
